ip, threat_collection, threat_collection_key, threat_key, malware_alias, weight
139.162.60.124,ip_intel,cryptolaemus_es_ip_intel|139.162.60.124,cryptolaemus_es_ip_intel,emotet,1
139.99.158.11,ip_intel,cryptolaemus_es_ip_intel|139.99.158.11,cryptolaemus_es_ip_intel,emotet,1
217.20.166.178,ip_intel,cryptolaemus_es_ip_intel|217.20.166.178,cryptolaemus_es_ip_intel,emotet,1
190.108.228.27,ip_intel,cryptolaemus_es_ip_intel|190.108.228.27,cryptolaemus_es_ip_intel,emotet,1
95.9.5.93,ip_intel,cryptolaemus_es_ip_intel|95.9.5.93,cryptolaemus_es_ip_intel,emotet,1
51.89.199.141,ip_intel,cryptolaemus_es_ip_intel|51.89.199.141,cryptolaemus_es_ip_intel,emotet,1
12.184.217.101,ip_intel,cryptolaemus_es_ip_intel|12.184.217.101,cryptolaemus_es_ip_intel,emotet,1
118.83.154.64,ip_intel,cryptolaemus_es_ip_intel|118.83.154.64,cryptolaemus_es_ip_intel,emotet,1
134.209.144.106,ip_intel,cryptolaemus_es_ip_intel|134.209.144.106,cryptolaemus_es_ip_intel,emotet,1
78.24.219.147,ip_intel,cryptolaemus_es_ip_intel|78.24.219.147,cryptolaemus_es_ip_intel,emotet,1
5.2.212.254,ip_intel,cryptolaemus_es_ip_intel|5.2.212.254,cryptolaemus_es_ip_intel,emotet,1
172.125.40.123,ip_intel,cryptolaemus_es_ip_intel|172.125.40.123,cryptolaemus_es_ip_intel,emotet,1
194.190.67.75,ip_intel,cryptolaemus_es_ip_intel|194.190.67.75,cryptolaemus_es_ip_intel,emotet,1
172.105.13.66,ip_intel,cryptolaemus_es_ip_intel|172.105.13.66,cryptolaemus_es_ip_intel,emotet,1
109.116.245.80,ip_intel,cryptolaemus_es_ip_intel|109.116.245.80,cryptolaemus_es_ip_intel,emotet,1
99.247.33.186,ip_intel,cryptolaemus_es_ip_intel|99.247.33.186,cryptolaemus_es_ip_intel,emotet,1
185.94.252.104,ip_intel,cryptolaemus_es_ip_intel|185.94.252.104,cryptolaemus_es_ip_intel,emotet,1
104.131.11.150,ip_intel,cryptolaemus_es_ip_intel|104.131.11.150,cryptolaemus_es_ip_intel,emotet,1
24.101.229.82,ip_intel,cryptolaemus_es_ip_intel|24.101.229.82,cryptolaemus_es_ip_intel,emotet,1
172.104.97.173,ip_intel,cryptolaemus_es_ip_intel|172.104.97.173,cryptolaemus_es_ip_intel,emotet,1
172.91.208.86,ip_intel,cryptolaemus_es_ip_intel|172.91.208.86,cryptolaemus_es_ip_intel,emotet,1
176.111.60.55,ip_intel,cryptolaemus_es_ip_intel|176.111.60.55,cryptolaemus_es_ip_intel,emotet,1
